"Time","# Players","Told To Move","Games Played","Avg. Payoff","Energy Given","Births","Movements Made","No Space To Move","Energy Removed","Deaths"
"346","5000","0","1882","1.23","4211","4","324","237","2500","4"
"347","5000","0","1927","1.27","4387","0","325","237","2500","0"
"348","5000","0","1923","1.22","4233","4","314","237","2500","4"
"349","5000","0","1906","1.27","4361","3","314","237","2500","3"
"350","5000","0","1917","1.28","4415","6","308","238","2500","6"
"351","5000","0","1929","1.25","4367","3","320","241","2500","3"
"352","5000","0","1928","1.23","4334","6","325","242","2500","6"
"353","5000","0","1918","1.25","4327","3","311","242","2500","3"
"354","5000","0","1901","1.22","4218","6","326","242","2500","6"
"355","5000","0","1909","1.25","4412","1","346","243","2500","1"
"356","5000","0","1895","1.27","4386","4","315","245","2500","4"
"357","5000","0","1886","1.24","4299","2","361","245","2500","2"
"358","5000","0","1925","1.25","4380","6","343","247","2500","6"
"359","5000","0","1886","1.26","4300","2","327","249","2500","2"
"360","5000","0","1905","1.24","4261","5","356","251","2500","5"
"361","5000","0","1896","1.24","4263","4","308","252","2500","4"
"362","5000","0","1908","1.25","4333","5","331","253","2500","5"
"363","5000","0","1903","1.24","4255","1","306","255","2500","1"
"364","5000","0","1913","1.24","4339","4","305","256","2500","4"
"365","5000","0","1925","1.26","4387","2","337","257","2500","2"
"366","5000","0","1874","1.25","4224","7","313","258","2500","7"
"367","5000","0","1926","1.24","4338","3","357","262","2500","3"
"368","5000","0","1917","1.25","4385","8","334","262","2500","8"
"369","5000","0","1893","1.24","4283","1","330","262","2500","1"
"370","5000","0","1915","1.22","4241","3","353","262","2500","3"
"371","5000","0","1928","1.29","4440","3","316","262","2500","3"
"372","5000","0","1915","1.27","4362","4","349","262","2500","4"
"373","5000","0","1901","1.25","4294","4","332","264","2500","4"
"374","5000","0","1891","1.22","4237","5","334","264","2500","5"
"375","5000","0","1883","1.26","4292","3","339","264","2500","3"
"376","5000","0","1906","1.25","4301","4","338","265","2500","4"
"377","5000","0","1882","1.22","4144","3","354","265","2500","3"
"378","5000","0","1902","1.25","4394","2","376","266","2500","2"
"379","5000","0","1902","1.28","4348","3","334","266","2500","3"
"380","5000","0","1920","1.22","4232","4","338","266","2500","4"
"381","5000","0","1928","1.25","4391","1","339","266","2500","1"
"382","5000","0","1887","1.22","4211","9","331","266","2500","9"
"383","5000","0","1890","1.25","4247","5","314","266","2500","5"
"384","5000","0","1919","1.25","4315","6","324","267","2500","6"
"385","5000","0","1880","1.2","4097","1","342","268","2500","1"
"386","5000","0","1898","1.24","4302","2","362","269","2500","2"
"387","5000","0","1905","1.25","4291","0","330","269","2500","0"
"388","5000","0","1902","1.22","4324","5","337","269","2500","5"
"389","5000","0","1925","1.23","4366","4","339","270","2500","4"
"390","5000","0","1897","1.27","4320","2","344","271","2500","2"
"391","5000","0","1886","1.27","4370","3","328","271","2500","3"
"392","5000","0","1914","1.25","4281","2","317","271","2500","2"
"393","5000","0","1896","1.24","4220","1","339","271","2500","1"
"394","5000","0","1890","1.25","4258","6","359","271","2500","6"
"395","5000","0","1909","1.2","4219","2","320","271","2500","2"
"396","5000","0","1905","1.21","4268","7","320","272","2500","7"
"397","5000","0","1907","1.25","4321","5","326","273","2500","5"
"398","5000","0","1920","1.23","4256","4","298","275","2500","4"
"399","5000","0","1896","1.28","4362","2","330","275","2500","2"
"400","5000","0","1901","1.24","4292","4","304","276","2500","4"
"401","5000","0","1903","1.23","4307","1","327","277","2500","1"
"402","5000","0","1895","1.22","4207","8","331","278","2500","8"
"403","5000","0","1880","1.21","4218","4","354","280","2500","4"
"404","5000","0","1899","1.25","4348","8","332","280","2500","8"
"405","5000","0","1921","1.23","4382","2","343","282","2500","2"
"406","5000","0","1909","1.24","4267","6","313","283","2500","6"
"407","5000","0","1900","1.2","4159","3","317","284","2500","3"
"408","5000","0","1917","1.26","4375","2","322","285","2500","2"
"409","5000","0","1887","1.26","4307","2","329","286","2500","2"
"410","5000","0","1883","1.24","4274","1","341","287","2500","1"
"411","5000","0","1902","1.22","4260","5","311","287","2500","5"
"412","5000","0","1906","1.24","4263","7","344","288","2500","7"
"413","5000","0","1941","1.21","4291","1","333","289","2500","1"
"414","5000","0","1899","1.26","4299","7","344","289","2500","7"
"415","5000","0","1889","1.25","4300","0","326","289","2500","0"
"416","5000","0","1887","1.23","4262","5","356","289","2500","5"
"417","5000","0","1899","1.26","4349","2","308","290","2500","2"
"418","5000","0","1890","1.21","4202","4","352","292","2500","4"
"419","5000","0","1919","1.26","4368","2","336","293","2500","2"
"420","5000","0","1907","1.28","4454","6","330","294","2500","6"
"421","5000","0","1881","1.25","4296","3","338","294","2500","3"
"422","5000","0","1894","1.24","4250","6","307","295","2500","6"
"423","5000","0","1888","1.25","4324","2","380","295","2500","2"
"424","5000","0","1899","1.23","4345","2","337","295","2500","2"
"425","5000","0","1864","1.25","4276","3","328","295","2500","3"
"426","5000","0","1883","1.23","4250","4","337","298","2500","4"
"427","5000","0","1890","1.21","4148","3","323","300","2500","3"
"428","5000","0","1903","1.24","4308","3","323","301","2500","3"
"429","5000","0","1899","1.25","4240","4","319","303","2500","4"
"430","5000","0","1901","1.24","4241","5","314","304","2500","5"
"431","5000","0","1905","1.26","4297","2","322","305","2500","2"
"432","5000","0","1893","1.26","4293","3","353","305","2500","3"
"433","5000","0","1876","1.26","4292","3","357","307","2500","3"
"434","5000","0","1905","1.25","4343","6","335","307","2500","6"
"435","5000","0","1870","1.27","4306","2","347","308","2500","2"
"436","5000","0","1896","1.26","4419","4","331","308","2500","4"
"437","5000","0","1881","1.26","4292","3","347","309","2500","3"
"438","5000","0","1898","1.23","4286","6","324","310","2500","6"
"439","5000","0","1914","1.26","4341","1","325","311","2500","1"
"440","5000","0","1891","1.25","4295","6","314","311","2500","6"
"441","5000","0","1902","1.21","4255","1","334","312","2500","1"
"442","5000","0","1886","1.28","4412","0","349","313","2500","0"
"443","5000","0","1904","1.23","4313","2","349","313","2500","2"
"444","5000","0","1884","1.22","4228","5","330","313","2500","5"
"445","5000","0","1895","1.24","4276","4","336","313","2500","4"
"446","5000","0","1890","1.22","4170","6","348","313","2500","6"
"447","5000","0","1904","1.24","4323","3","331","313","2500","3"
"448","5000","0","1904","1.26","4317","6","319","313","2500","6"
"449","5000","0","1891","1.22","4161","2","299","313","2500","2"
"450","5000","0","1899","1.26","4281","2","349","313","2500","2"
"451","5000","0","1892","1.22","4156","3","315","313","2500","3"
"452","5000","0","1908","1.28","4362","7","336","313","2500","7"
